FID,yr,mo,dy,date,time,tz,st,stf,mag,inj,fat,loss,closs,slon,slat,elon,elat,len,wid,kind,stroke
0,1990,1,19,1/19/1990,15:40:00,3,TX,48,3,2,0,6,0,-94.95,31.22,-94.83,31.35,13,100,Tornado,#FFAA00
1,1990,1,19,1/19/1990,15:40:00,3,TX,48,3,2,0,6,0,-94.95,31.22,-94.83,31.35,13,100,Tornado,#FFAA00
2,1990,1,19,1/19/1990,15:40:00,3,TX,48,3,2,0,6,0,-94.95,31.22,-94.83,31.35,13,100,Tornado,#FFAA00
3,1990,1,19,1/19/1990,15:40:00,3,TX,48,3,2,0,6,0,-94.95,31.22,-94.83,31.35,13,100,Tornado,#FFAA00
4,1990,1,19,1/19/1990,15:40:00,3,TX,48,3,2,0,6,0,-94.95,31.22,-94.83,31.35,13,100,Tornado,#FFAA00
5,1990,2,9,2/9/1990,17:16:00,3,TX,48,2,1,0,0,0,-94.83,31.7,-94.5,31.82,25,100,Tornado,#008000
6,1990,2,9,2/9/1990,17:16:00,3,TX,48,2,1,0,0,0,-94.83,31.7,-94.5,31.82,25,100,Tornado,#008000
7,1990,2,9,2/9/1990,17:16:00,3,TX,48,2,1,0,0,0,-94.83,31.7,-94.5,31.82,25,100,Tornado,#008000
8,1990,2,9,2/9/1990,17:16:00,3,TX,48,2,1,0,0,0,-94.83,31.7,-94.5,31.82,25,100,Tornado,#008000
9,1990,2,9,2/9/1990,17:16:00,3,TX,48,2,1,0,0,0,-94.83,31.7,-94.5,31.82,25,100,Tornado,#008000
10,1990,2,9,2/9/1990,17:16:00,3,TX,48,2,1,0,0,0,-94.83,31.7,-94.5,31.82,25,100,Tornado,#008000
11,1990,2,9,2/9/1990,17:16:00,3,TX,48,2,1,0,0,0,-94.83,31.7,-94.5,31.82,25,100,Tornado,#008000
12,1990,2,9,2/9/1990,17:16:00,3,TX,48,2,1,0,0,0,-94.83,31.7,-94.5,31.82,25,100,Tornado,#008000
13,1990,2,9,2/9/1990,17:16:00,3,TX,48,2,1,0,0,0,-94.83,31.7,-94.5,31.82,25,100,Tornado,#008000
14,1990,2,9,2/9/1990,17:16:00,3,TX,48,2,1,0,0,0,-94.83,31.7,-94.5,31.82,25,100,Tornado,#008000
15,1990,3,14,3/14/1990,9:45:00,3,TX,48,3,0,0,5,0,-97.5,31.07,-97.35,31.1,9,50,Tornado,#FFAA00
16,1990,3,14,3/14/1990,9:45:00,3,TX,48,3,0,0,5,0,-97.5,31.07,-97.35,31.1,9,50,Tornado,#FFAA00
17,1990,3,14,3/14/1990,9:45:00,3,TX,48,3,0,0,5,0,-97.5,31.07,-97.35,31.1,9,50,Tornado,#FFAA00
18,1990,3,14,3/14/1990,9:45:00,3,TX,48,3,0,0,5,0,-97.5,31.07,-97.35,31.1,9,50,Tornado,#FFAA00
19,1990,3,14,3/14/1990,12:05:00,3,TX,48,2,0,0,0,0,-95.93,32.87,-95.88,32.92,4,50,Tornado,#008000
20,1990,3,14,3/14/1990,12:05:00,3,TX,48,2,0,0,0,0,-95.93,32.87,-95.88,32.92,4,50,Tornado,#008000
21,1990,4,15,4/15/1990,16:30:00,3,TX,48,2,0,0,6,0,-102.83,30.9,-102.8,30.95,3.5,250,Tornado,#008000
22,1990,4,24,4/24/1990,20:15:00,3,TX,48,1,0,0,3,0,-100.05,35.9,-100,35.9,3,130,Tornado,#0000FF
23,1990,4,24,4/24/1990,22:30:00,3,TX,48,1,1,0,3,0,-100.45,35.22,-100.38,35.27,3.5,140,Tornado,#0000FF
24,1990,4,24,4/24/1990,22:30:00,3,TX,48,1,1,0,3,0,-100.45,35.22,-100.38,35.27,3.5,140,Tornado,#0000FF
25,1990,4,24,4/24/1990,23:17:00,3,TX,48,1,0,0,4,0,-100.28,35.22,-100.22,35.23,4,250,Tornado,#0000FF
26,1990,4,25,4/25/1990,15:30:00,3,TX,48,2,0,0,0,0,-97.85,32.73,-97.83,32.78,4,300,Tornado,#008000
27,1990,4,25,4/25/1990,15:44:00,3,TX,48,4,0,0,6,0,-97.83,32.78,-97.75,32.9,10,880,Tornado,#FF0000
28,1990,4,25,4/25/1990,15:44:00,3,TX,48,4,0,0,6,0,-97.83,32.78,-97.75,32.9,10,880,Tornado,#FF0000
29,1990,4,25,4/25/1990,15:44:00,3,TX,48,4,0,0,6,0,-97.83,32.78,-97.75,32.9,10,880,Tornado,#FF0000
30,1990,4,25,4/25/1990,15:44:00,3,TX,48,4,0,0,6,0,-97.83,32.78,-97.75,32.9,10,880,Tornado,#FF0000
31,1990,4,25,4/25/1990,16:20:00,3,TX,48,2,0,0,0,0,-97.72,33.07,-97.67,33.08,5,100,Tornado,#008000
32,1990,4,25,4/25/1990,17:25:00,3,TX,48,2,0,0,7,0,-98.47,32.08,-98.42,32.13,4,50,Tornado,#008000
33,1990,4,25,4/25/1990,17:25:00,3,TX,48,2,0,0,7,0,-98.47,32.08,-98.42,32.13,4,50,Tornado,#008000
34,1990,4,25,4/25/1990,18:55:00,3,TX,48,1,0,0,0,0,-98.38,31.98,-98.37,32.02,2,50,Tornado,#0000FF
35,1990,4,25,4/25/1990,21:14:00,3,TX,48,1,0,0,0,0,-98.17,32.5,-98.13,32.57,4,50,Tornado,#0000FF
36,1990,4,25,4/25/1990,21:14:00,3,TX,48,1,0,0,0,0,-98.17,32.5,-98.13,32.57,4,50,Tornado,#0000FF
37,1990,4,27,4/27/1990,15:40:00,3,TX,48,3,0,0,6,0,-96.5,31.6,-96.45,31.63,4,100,Tornado,#FFAA00
38,1990,4,27,4/27/1990,19:05:00,3,TX,48,1,0,0,0,0,-93.98,31.78,-93.88,31.8,4,50,Tornado,#0000FF
39,1990,4,27,4/27/1990,19:05:00,3,TX,48,1,0,0,0,0,-93.98,31.78,-93.88,31.8,4,50,Tornado,#0000FF
40,1990,4,27,4/27/1990,19:05:00,3,TX,48,1,0,0,0,0,-93.98,31.78,-93.88,31.8,4,50,Tornado,#0000FF
41,1990,5,14,5/14/1990,18:10:00,3,TX,48,1,0,0,0,0,-99.97,33.42,-99.82,33.42,7,50,Tornado,#0000FF
42,1990,5,14,5/14/1990,18:10:00,3,TX,48,1,0,0,0,0,-99.97,33.42,-99.82,33.42,7,50,Tornado,#0000FF
43,1990,5,14,5/14/1990,18:10:00,3,TX,48,1,0,0,0,0,-99.97,33.42,-99.82,33.42,7,50,Tornado,#0000FF
44,1990,5,14,5/14/1990,18:10:00,3,TX,48,1,0,0,0,0,-99.97,33.42,-99.82,33.42,7,50,Tornado,#0000FF
45,1990,5,31,5/31/1990,15:30:00,3,TX,48,1,0,0,2,0,-100.97,36.07,-100.8,36.13,7,177,Tornado,#0000FF
46,1990,5,31,5/31/1990,15:30:00,3,TX,48,1,0,0,2,0,-100.97,36.07,-100.8,36.13,7,177,Tornado,#0000FF
47,1990,5,31,5/31/1990,15:30:00,3,TX,48,1,0,0,2,0,-100.97,36.07,-100.8,36.13,7,177,Tornado,#0000FF
48,1990,5,31,5/31/1990,15:30:00,3,TX,48,1,0,0,2,0,-100.97,36.07,-100.8,36.13,7,177,Tornado,#0000FF
49,1990,5,31,5/31/1990,15:30:00,3,TX,48,1,0,0,2,0,-100.97,36.07,-100.8,36.13,7,177,Tornado,#0000FF
50,1990,5,31,5/31/1990,17:41:00,3,TX,48,3,0,0,6,0,-101.05,36.17,-100.8,36.2,14,1407,Tornado,#FFAA00
51,1990,5,31,5/31/1990,17:41:00,3,TX,48,3,0,0,6,0,-101.05,36.17,-100.8,36.2,14,1407,Tornado,#FFAA00
52,1990,5,31,5/31/1990,17:41:00,3,TX,48,3,0,0,6,0,-101.05,36.17,-100.8,36.2,14,1407,Tornado,#FFAA00
53,1990,5,31,5/31/1990,17:41:00,3,TX,48,3,0,0,6,0,-101.05,36.17,-100.8,36.2,14,1407,Tornado,#FFAA00
54,1990,5,31,5/31/1990,17:41:00,3,TX,48,3,0,0,6,0,-101.05,36.17,-100.8,36.2,14,1407,Tornado,#FFAA00
55,1990,5,31,5/31/1990,17:41:00,3,TX,48,3,0,0,6,0,-101.05,36.17,-100.8,36.2,14,1407,Tornado,#FFAA00
56,1990,5,31,5/31/1990,17:41:00,3,TX,48,3,0,0,6,0,-101.05,36.17,-100.8,36.2,14,1407,Tornado,#FFAA00
57,1990,5,31,5/31/1990,19:15:00,3,TX,48,2,0,0,6,0,-101.3,36.17,-101.18,36.2,5.5,600,Tornado,#008000
58,1990,5,31,5/31/1990,19:15:00,3,TX,48,2,0,0,6,0,-101.3,36.17,-101.18,36.2,5.5,600,Tornado,#008000
59,1990,5,31,5/31/1990,19:15:00,3,TX,48,2,0,0,6,0,-101.3,36.17,-101.18,36.2,5.5,600,Tornado,#008000
60,1990,5,31,5/31/1990,21:45:00,3,TX,48,2,0,0,5,0,-100.97,36.08,-100.85,36.05,3,450,Tornado,#008000
61,1990,5,31,5/31/1990,21:45:00,3,TX,48,2,0,0,5,0,-100.97,36.08,-100.85,36.05,3,450,Tornado,#008000
62,1990,5,31,5/31/1990,21:45:00,3,TX,48,2,0,0,5,0,-100.97,36.08,-100.85,36.05,3,450,Tornado,#008000
