FID,yr,mo,dy,date,time,tz,st,stf,mag,inj,fat,loss,closs,slon,slat,elon,elat,len,wid,kind,stroke
0,1980,2,7,2/7/1980,18:00:00,3,TX,48,1,0,0,5,0,-102.85,34.4,-102.32,34.5,31.1,10,Tornado,#0000FF
1,1980,2,7,2/7/1980,18:00:00,3,TX,48,1,0,0,5,0,-102.85,34.4,-102.32,34.5,31.1,10,Tornado,#0000FF
2,1980,2,7,2/7/1980,18:00:00,3,TX,48,1,0,0,5,0,-102.85,34.4,-102.32,34.5,31.1,10,Tornado,#0000FF
3,1980,2,7,2/7/1980,18:00:00,3,TX,48,1,0,0,5,0,-102.85,34.4,-102.32,34.5,31.1,10,Tornado,#0000FF
4,1980,2,7,2/7/1980,18:00:00,3,TX,48,1,0,0,5,0,-102.85,34.4,-102.32,34.5,31.1,10,Tornado,#0000FF
5,1980,2,7,2/7/1980,18:00:00,3,TX,48,1,0,0,5,0,-102.85,34.4,-102.32,34.5,31.1,10,Tornado,#0000FF
6,1980,2,7,2/7/1980,18:00:00,3,TX,48,1,0,0,5,0,-102.85,34.4,-102.32,34.5,31.1,10,Tornado,#0000FF
7,1980,2,7,2/7/1980,18:00:00,3,TX,48,1,0,0,5,0,-102.85,34.4,-102.32,34.5,31.1,10,Tornado,#0000FF
8,1980,2,7,2/7/1980,18:00:00,3,TX,48,1,0,0,5,0,-102.85,34.4,-102.32,34.5,31.1,10,Tornado,#0000FF
9,1980,2,7,2/7/1980,18:00:00,3,TX,48,1,0,0,5,0,-102.85,34.4,-102.32,34.5,31.1,10,Tornado,#0000FF
10,1980,2,7,2/7/1980,18:00:00,3,TX,48,1,0,0,5,0,-102.85,34.4,-102.32,34.5,31.1,10,Tornado,#0000FF
11,1980,2,7,2/7/1980,18:00:00,3,TX,48,1,0,0,5,0,-102.85,34.4,-102.32,34.5,31.1,10,Tornado,#0000FF
12,1980,2,7,2/7/1980,18:00:00,3,TX,48,1,0,0,5,0,-102.85,34.4,-102.32,34.5,31.1,10,Tornado,#0000FF
13,1980,2,7,2/7/1980,18:00:00,3,TX,48,1,0,0,5,0,-102.85,34.4,-102.32,34.5,31.1,10,Tornado,#0000FF
14,1980,2,7,2/7/1980,18:00:00,3,TX,48,1,0,0,5,0,-102.85,34.4,-102.32,34.5,31.1,10,Tornado,#0000FF
15,1980,2,29,2/29/1980,20:15:00,3,TX,48,1,0,0,0,0,-97.53,30.52,-97.38,30.43,11,43,Tornado,#0000FF
16,1980,2,29,2/29/1980,20:15:00,3,TX,48,1,0,0,0,0,-97.53,30.52,-97.38,30.43,11,43,Tornado,#0000FF
17,1980,2,29,2/29/1980,20:15:00,3,TX,48,1,0,0,0,0,-97.53,30.52,-97.38,30.43,11,43,Tornado,#0000FF
18,1980,2,29,2/29/1980,20:15:00,3,TX,48,1,0,0,0,0,-97.53,30.52,-97.38,30.43,11,43,Tornado,#0000FF
19,1980,2,29,2/29/1980,20:15:00,3,TX,48,1,0,0,0,0,-97.53,30.52,-97.38,30.43,11,43,Tornado,#0000FF
20,1980,3,17,3/17/1980,5:45:00,3,TX,48,1,0,0,4,0,-95.07,31.6,-94.88,31.63,12,33,Tornado,#0000FF
21,1980,3,17,3/17/1980,5:45:00,3,TX,48,1,0,0,4,0,-95.07,31.6,-94.88,31.63,12,33,Tornado,#0000FF
22,1980,3,17,3/17/1980,5:45:00,3,TX,48,1,0,0,4,0,-95.07,31.6,-94.88,31.63,12,33,Tornado,#0000FF
23,1980,3,17,3/17/1980,5:45:00,3,TX,48,1,0,0,4,0,-95.07,31.6,-94.88,31.63,12,33,Tornado,#0000FF
24,1980,3,17,3/17/1980,5:45:00,3,TX,48,1,0,0,4,0,-95.07,31.6,-94.88,31.63,12,33,Tornado,#0000FF
25,1980,3,27,3/27/1980,14:10:00,3,TX,48,0,0,0,1,0,-102.12,34.57,-102.07,34.6,3.8,10,Tornado,#888888
26,1980,3,27,3/27/1980,16:45:00,3,TX,48,1,0,0,2,0,-101.02,33.5,-100.82,33.57,13.9,50,Tornado,#0000FF
27,1980,3,27,3/27/1980,16:45:00,3,TX,48,1,0,0,2,0,-101.02,33.5,-100.82,33.57,13.9,50,Tornado,#0000FF
28,1980,3,27,3/27/1980,16:45:00,3,TX,48,1,0,0,2,0,-101.02,33.5,-100.82,33.57,13.9,50,Tornado,#0000FF
29,1980,3,27,3/27/1980,16:45:00,3,TX,48,1,0,0,2,0,-101.02,33.5,-100.82,33.57,13.9,50,Tornado,#0000FF
30,1980,3,27,3/27/1980,16:45:00,3,TX,48,1,0,0,2,0,-101.02,33.5,-100.82,33.57,13.9,50,Tornado,#0000FF
31,1980,3,27,3/27/1980,16:45:00,3,TX,48,1,0,0,2,0,-101.02,33.5,-100.82,33.57,13.9,50,Tornado,#0000FF
32,1980,4,2,4/2/1980,12:10:00,3,TX,48,4,0,0,0,0,-99.18,33.6,-99.08,33.68,8.4,250,Tornado,#FF0000
33,1980,4,2,4/2/1980,12:10:00,3,TX,48,4,0,0,0,0,-99.18,33.6,-99.08,33.68,8.4,250,Tornado,#FF0000
34,1980,4,2,4/2/1980,12:10:00,3,TX,48,4,0,0,0,0,-99.18,33.6,-99.08,33.68,8.4,250,Tornado,#FF0000
35,1980,4,2,4/2/1980,15:15:00,3,TX,48,2,1,0,5,0,-98.02,32.95,-97.97,32.9,4.5,277,Tornado,#008000
36,1980,4,2,4/2/1980,15:15:00,3,TX,48,2,1,0,5,0,-98.02,32.95,-97.97,32.9,4.5,277,Tornado,#008000
37,1980,4,7,4/7/1980,16:48:00,3,TX,48,3,5,1,5,0,-97.7,30.52,-97.22,30.35,31.7,100,Tornado,#FFAA00
38,1980,4,7,4/7/1980,16:48:00,3,TX,48,3,5,1,5,0,-97.7,30.52,-97.22,30.35,31.7,100,Tornado,#FFAA00
39,1980,4,7,4/7/1980,16:48:00,3,TX,48,3,5,1,5,0,-97.7,30.52,-97.22,30.35,31.7,100,Tornado,#FFAA00
40,1980,4,7,4/7/1980,16:48:00,3,TX,48,3,5,1,5,0,-97.7,30.52,-97.22,30.35,31.7,100,Tornado,#FFAA00
41,1980,4,7,4/7/1980,16:48:00,3,TX,48,3,5,1,5,0,-97.7,30.52,-97.22,30.35,31.7,100,Tornado,#FFAA00
42,1980,4,7,4/7/1980,16:48:00,3,TX,48,3,5,1,5,0,-97.7,30.52,-97.22,30.35,31.7,100,Tornado,#FFAA00
43,1980,4,7,4/7/1980,16:48:00,3,TX,48,3,5,1,5,0,-97.7,30.52,-97.22,30.35,31.7,100,Tornado,#FFAA00
44,1980,4,7,4/7/1980,16:48:00,3,TX,48,3,5,1,5,0,-97.7,30.52,-97.22,30.35,31.7,100,Tornado,#FFAA00
45,1980,4,7,4/7/1980,16:48:00,3,TX,48,3,5,1,5,0,-97.7,30.52,-97.22,30.35,31.7,100,Tornado,#FFAA00
46,1980,4,7,4/7/1980,16:48:00,3,TX,48,3,5,1,5,0,-97.7,30.52,-97.22,30.35,31.7,100,Tornado,#FFAA00
47,1980,4,7,4/7/1980,16:48:00,3,TX,48,3,5,1,5,0,-97.7,30.52,-97.22,30.35,31.7,100,Tornado,#FFAA00
48,1980,4,7,4/7/1980,16:48:00,3,TX,48,3,5,1,5,0,-97.7,30.52,-97.22,30.35,31.7,100,Tornado,#FFAA00
49,1980,4,7,4/7/1980,16:48:00,3,TX,48,3,5,1,5,0,-97.7,30.52,-97.22,30.35,31.7,100,Tornado,#FFAA00
